"BldgType","GarageType","Id","LotArea","MSSubClass","MoSold","Neighborhood","OverallCond","PoolArea","SaleCondition","SalePrice","SaleType","TotalBsmtSF","Utilities","YearBuilt","YrSold","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"1Fam","Attchd",962,12227,60,7,"NWAmes",7,0,"Normal",272000,"WD",1330,"AllPub",1977,2008,30,"1","2024-05-22T10:46:43.373906Z",12,6.637,"Medium","2024-05-22T10:46:43.373906Z"
"1Fam","Attchd",245,8880,60,5,"SawyerW",5,0,"Normal",205000,"WD",948,"AllPub",1994,2010,12,"1","2024-05-22T10:41:56.670094Z",13,15.75,"Medium","2024-05-22T10:41:56.670094Z"
"1Fam","BuiltIn",747,8795,60,4,"Gilbert",5,0,"Normal",236000,"WD",952,"AllPub",2000,2009,13,"1","2024-05-22T10:42:34.416589Z",14,6.507,"New","2024-05-22T10:42:34.416589Z"
"1Fam","Attchd",199,5520,75,7,"OldTown",6,0,"Abnorml",104000,"WD",755,"AllPub",1912,2009,14,"1","2024-05-22T10:43:28.568299Z",15,2.932,"Old","2024-05-22T10:43:28.568299Z"
"1Fam","Attchd",42,16905,20,7,"Timber",6,0,"Normal",170000,"WD",1350,"AllPub",1959,2007,15,"1","2024-05-22T10:43:39.003166Z",16,37.835,"Old","2024-05-22T10:43:39.003166Z"
"1Fam","Attchd",1124,9405,20,6,"Edwards",9,0,"Normal",118000,"WD",698,"AllPub",1947,2009,16,"1","2024-05-22T10:43:43.589584Z",17,2.398,"Old","2024-05-22T10:43:43.589584Z"
"1Fam","Attchd",1355,10316,60,6,"CollgCr",5,0,"Normal",235000,"WD",992,"AllPub",2000,2008,17,"1","2024-05-22T10:43:49.131376Z",18,3.818,"New","2024-05-22T10:43:49.131376Z"
"1Fam","Attchd",1215,10205,85,5,"NAmes",5,0,"Normal",134500,"WD",925,"AllPub",1962,2006,18,"1","2024-05-22T10:43:55.164107Z",19,4.557,"Old","2024-05-22T10:43:55.165110Z"
"1Fam","Attchd",612,10395,80,7,"NWAmes",6,0,"Normal",148000,"WD",1032,"AllPub",1978,2007,19,"1","2024-05-22T10:44:05.515781Z",20,8.095,"Medium","2024-05-22T10:44:05.515781Z"
"TwnhsE","Detchd",236,1680,160,8,"BrDale",3,0,"Normal",89500,"WD",483,"AllPub",1971,2008,20,"1","2024-05-22T10:44:23.745076Z",21,13.665,"Medium","2024-05-22T10:44:23.745076Z"
"TwnhsE","Attchd",1182,5587,120,11,"Crawfor",5,0,"Partial",392500,"New",1600,"AllPub",2008,2008,21,"1","2024-05-22T10:44:27.492229Z",22,2.328,"New","2024-05-22T10:44:27.492229Z"
"1Fam","Attchd",705,8400,20,5,"CollgCr",5,0,"Normal",213000,"WD",1473,"AllPub",2004,2010,22,"1","2024-05-22T10:44:30.853891Z",23,1.918,"New","2024-05-22T10:44:30.853891Z"
"1Fam","Attchd",14,10652,20,8,"CollgCr",5,0,"Partial",279500,"New",1494,"AllPub",2006,2007,23,"1","2024-05-22T10:44:34.617802Z",24,2.371,"New","2024-05-22T10:44:34.617802Z"
"1Fam","Detchd",147,6120,30,11,"BrkSide",7,0,"Normal",105000,"WD",715,"AllPub",1931,2009,24,"1","2024-05-22T10:44:38.323377Z",25,1.963,"Old","2024-05-22T10:44:38.323377Z"
"1Fam","Detchd",326,5000,45,12,"IDOTRR",6,0,"Normal",87000,"WD",720,"AllPub",1941,2007,25,"1","2024-05-22T10:44:41.198534Z",26,1.554,"Old","2024-05-22T10:44:41.198534Z"
"1Fam","Attchd",910,12589,60,6,"Gilbert",5,0,"Normal",174000,"WD",742,"AllPub",2005,2009,26,"1","2024-05-22T10:44:44.503784Z",27,1.727,"New","2024-05-22T10:44:44.503784Z"
"1Fam","Attchd",833,9548,60,1,"CollgCr",6,0,"Normal",237000,"WD",941,"AllPub",2003,2010,27,"1","2024-05-22T10:44:50.618415Z",28,1.988,"New","2024-05-22T10:44:50.618415Z"
"1Fam","Detchd",680,9945,20,10,"Sawyer",5,0,"Normal",128500,"WD",988,"AllPub",1961,2007,28,"1","2024-05-22T10:45:01.392220Z",29,8.557,"Old","2024-05-22T10:45:01.392220Z"
"1Fam","Attchd",580,12150,50,11,"OldTown",5,0,"Normal",131500,"WD",1050,"AllPub",1954,2008,29,"1","2024-05-22T10:45:05.100714Z",30,1.739,"Old","2024-05-22T10:45:05.100714Z"
